Headline,Domain,Keywords,Sentiment
Lok Sabha Elections 2024: Nagpur's Shift - From Congress Citadel To BJP Bastion,India,"['lok', 'sabha', 'election', '2024', 'nagpur', ""'s"", 'shift', 'congress', 'citadel', 'bjp', 'bastion']",Neutral
Lok Sabha Elections 2024: Lucknow's Enduring Political Legacy,India,"['lok', 'sabha', 'election', '2024', 'lucknow', ""'s"", 'enduring', 'political', 'legacy']",Neutral
"Congress Holds First Meet To Pick Candidates. 10 States, 60 Seats On Table",India,"['congress', 'hold', 'first', 'meet', 'pick', 'candidate', '10', 'state', '60', 'seat', 'table']",Neutral
"Congress Considered Dalits As ""Instruments For Getting Votes"": BJP Chief",India,"['congress', 'considered', 'dalits', '``', 'instrument', 'getting', 'vote', ""''"", 'bjp', 'chief']",Neutral
"Congress Chief May Not Contest Polls, Promotes Son-In-Law From His Seat",India,"['congress', 'chief', 'may', 'contest', 'poll', 'promotes', 'son-in-law', 'seat']",Negative
Services On Part Of Delhi Metro's Yellow Line Hit Due To Signalling Issue,India,"['service', 'part', 'delhi', 'metro', ""'s"", 'yellow', 'line', 'hit', 'due', 'signalling', 'issue']",Neutral
"""Flouts Written Agreements"": S Jaishankar On China's ""Questionable Intent""",India,"['``', 'flouts', 'written', 'agreement', ""''"", 'jaishankar', 'china', ""'s"", '``', 'questionable', 'intent', ""''""]",Negative
3 Members Of Wedding Band Killed In Agra As Iron Trolley Touches Live Wire,India,"['3', 'member', 'wedding', 'band', 'killed', 'agra', 'iron', 'trolley', 'touch', 'live', 'wire']",Negative
82.42% Of National Parties' Unknown Income Tied To Electoral Bonds: Report,India,"['82.42', 'national', 'party', 'unknown', 'income', 'tied', 'electoral', 'bond', 'report']",Positive
Activist Gautam Navlakha Owes Rs 1.64 Crore For House Arrest Security: Anti-Terror Agency,India,"['activist', 'gautam', 'navlakha', 'owes', 'r', '1.64', 'crore', 'house', 'arrest', 'security', 'anti-terror', 'agency']",Neutral
Bengal Man Sentenced To 20 Years In Jail For Raping 12-Year-Old Girl,India,"['bengal', 'man', 'sentenced', '20', 'year', 'jail', 'raping', '12-year-old', 'girl']",Negative
Talks Likely On Lok Sabha Candidates For 10 States In Key Congress Meet: Report,India,"['talk', 'likely', 'lok', 'sabha', 'candidate', '10', 'state', 'key', 'congress', 'meet', 'report']",Neutral
"After State Win, Cold Feet In Karnataka Congress Over National Battle",India,"['state', 'win', 'cold', 'foot', 'karnataka', 'congress', 'national', 'battle']",Positive
CBI Arrests Rail Official For Duping Over 23 People With Jobs Promise,India,"['cbi', 'arrest', 'rail', 'official', 'duping', '23', 'people', 'job', 'promise']",Negative
"Truck Driver, Helper Arrested In Gurugram With Marijuana Worth Rs 1 Crore",India,"['truck', 'driver', 'helper', 'arrested', 'gurugram', 'marijuana', 'worth', 'r', '1', 'crore']",Positive
"71-Year-Old Delhi Doctor Falls Into Sextortion Trap, Loses Rs 9 Lakh",India,"['71-year-old', 'delhi', 'doctor', 'fall', 'sextortion', 'trap', 'loses', 'r', '9', 'lakh']",Negative
"""It's A Wonder I Came Out Of Jail Alive"": Ex Delhi University Professor GN Saibaba",India,"['``', ""'s"", 'wonder', 'came', 'jail', 'alive', ""''"", 'ex', 'delhi', 'university', 'professor', 'gn', 'saibaba']",Positive
"Class 10 Students Arrive At This UP Exam Centre With Iron Chains, Detained",India,"['class', '10', 'student', 'arrive', 'exam', 'centre', 'iron', 'chain', 'detained']",Negative
"Suspect Changed Clothes After Bengaluru Blast, Travelled By Bus: Minister",India,"['suspect', 'changed', 'clothes', 'bengaluru', 'blast', 'travelled', 'bus', 'minister']",Negative
"BJP Like Washing Machine, Corruption Accused Go To Get Clean: Sharad Pawar",India,"['bjp', 'like', 'washing', 'machine', 'corruption', 'accused', 'go', 'get', 'clean', 'sharad', 'pawar']",Positive
"""Swadeshikarn Se Sashaktikaran Is A Work In Progress"": Army Chief",India,"['``', 'swadeshikarn', 'se', 'sashaktikaran', 'work', 'progress', ""''"", 'army', 'chief']",Neutral
"""Wherever You Contest..."": Mamata Banerjee Dares Ex Judge Who Joined BJP",India,"['``', 'wherever', 'contest', '...', ""''"", 'mamata', 'banerjee', 'dare', 'ex', 'judge', 'joined', 'bjp']",Neutral
3 Jailed For Life For Killing Delhi Photographer Over Inter-Faith Affair,India,"['3', 'jailed', 'life', 'killing', 'delhi', 'photographer', 'inter-faith', 'affair']",Negative
"In Sena vs Sena Ruling, Did Speaker Contradict Top Court, Asks Chief Justice",India,"['sena', 'v', 'sena', 'ruling', 'speaker', 'contradict', 'top', 'court', 'asks', 'chief', 'justice']",Positive
"5 Facts About Hema Malini, BJP's Candidate From Mathura Seat",India,"['5', 'fact', 'hema', 'malini', 'bjp', ""'s"", 'candidate', 'mathura', 'seat']",Neutral
75% Of All Rural Households Now Have Tap Water: Jal Shakti Minister,India,"['75', 'rural', 'household', 'tap', 'water', 'jal', 'shakti', 'minister']",Neutral
"Jobs, Training, Stipend, Startup Funds Among Rahul Gandhi's 5 Guarantees",India,"['job', 'training', 'stipend', 'startup', 'fund', 'among', 'rahul', 'gandhi', ""'s"", '5', 'guarantee']",Neutral
"Ration Card Not An Address Proof, For Public Distribution Only: High Court",India,"['ration', 'card', 'address', 'proof', 'public', 'distribution', 'high', 'court']",Neutral
"Day After PM's Charge, Mamata Banerjee Marches With Sandeshkhali Women",India,"['day', 'pm', ""'s"", 'charge', 'mamata', 'banerjee', 'march', 'sandeshkhali', 'woman']",Neutral
"""Emerging Technologies No Longer Superpower-Centric"": Army Chief's Top Quotes",India,"['``', 'emerging', 'technology', 'longer', 'superpower-centric', ""''"", 'army', 'chief', ""'s"", 'top', 'quote']",Negative
"""Suspicious"" IMPS Transactions Worth Rs 820 Crore Found, CBI Searches On",India,"['``', 'suspicious', ""''"", 'imp', 'transaction', 'worth', 'r', '820', 'crore', 'found', 'cbi', 'search']",Positive
"PM Shares ""Memorable Selfie With My Friend Nazim"" After Srinagar Event",India,"['pm', 'share', '``', 'memorable', 'selfie', 'friend', 'nazim', ""''"", 'srinagar', 'event']",Positive
"""World Seeing A Return To Conflict For Political Objectives"": Army Chief",India,"['``', 'world', 'seeing', 'return', 'conflict', 'political', 'objective', ""''"", 'army', 'chief']",Negative
Former Calcutta High Court Judge Abhijit Gangopadhyay Joins BJP,India,"['former', 'calcutta', 'high', 'court', 'judge', 'abhijit', 'gangopadhyay', 'join', 'bjp']",Neutral
"IndiGo Passenger Finds Seat Cushion Missing On Flight, Airline Responds",India,"['indigo', 'passenger', 'find', 'seat', 'cushion', 'missing', 'flight', 'airline', 'responds']",Negative
"Days After UP Girls Were Allegedly Raped, Died, Father Of One Also Found Dead",India,"['day', 'girl', 'allegedly', 'raped', 'died', 'father', 'one', 'also', 'found', 'dead']",Negative
"PM Modi Enjoys ""Majestic"" View Of Shankaracharya Hill In Srinagar",India,"['pm', 'modi', 'enjoys', '``', 'majestic', ""''"", 'view', 'shankaracharya', 'hill', 'srinagar']",Positive
"""It Means He Is..."": Smriti Irani On Buzz Rahul Gandhi To Contest 2 Seats",India,"['``', 'mean', '...', ""''"", 'smriti', 'irani', 'buzz', 'rahul', 'gandhi', 'contest', '2', 'seat']",Neutral
SBI's Time Extension On Electoral Bond Details Challenged In Supreme Court,India,"['sbi', ""'s"", 'time', 'extension', 'electoral', 'bond', 'detail', 'challenged', 'supreme', 'court']",Positive
"5 Facts About Bansuri Swaraj, BJPs Candidate For New Delhi Seat",India,"['5', 'fact', 'bansuri', 'swaraj', 'bjps', 'candidate', 'new', 'delhi', 'seat']",Neutral
"In Tripura Twist, Ex-Royal's Tipra Motha Party Joins BJP-Led Government",India,"['tripura', 'twist', 'ex-royal', ""'s"", 'tipra', 'motha', 'party', 'join', 'bjp-led', 'government']",Positive
"""Modi Aayenge, Modi Aayenge"": Young Singer From Kashmir Composes Song Praising PM",India,"['``', 'modi', 'aayenge', 'modi', 'aayenge', ""''"", 'young', 'singer', 'kashmir', 'composes', 'song', 'praising', 'pm']",Positive
Watch: Indian Navy Warship Rescues 21 From Ship Hit By Houthi Missile,India,"['watch', 'indian', 'navy', 'warship', 'rescue', '21', 'ship', 'hit', 'houthi', 'missile']",Positive
"""This Is New Jammu And Kashmir..."": PM Modi's War Cry In Srinagar",India,"['``', 'new', 'jammu', 'kashmir', '...', ""''"", 'pm', 'modi', ""'s"", 'war', 'cry', 'srinagar']",Negative
"""We Have Already Crossed 370,"" Rajnath Singh Quips On Poll Question",India,"['``', 'already', 'crossed', '370', ""''"", 'rajnath', 'singh', 'quip', 'poll', 'question']",Neutral
"9-Year-Old Girl's Rape, Murder Sparks Protests In Puducherry, 2 Arrested",India,"['9-year-old', 'girl', ""'s"", 'rape', 'murder', 'spark', 'protest', 'puducherry', '2', 'arrested']",Negative
Why BJP Candidate In Bengal's Asansol Dropped Out. Rajnath Singh Says...,India,"['bjp', 'candidate', 'bengal', ""'s"", 'asansol', 'dropped', 'rajnath', 'singh', 'say', '...']",Neutral
"""Ready For War At All Times"": Rajnath Singh's Top Quotes At NDTV Summit",India,"['``', 'ready', 'war', 'time', ""''"", 'rajnath', 'singh', ""'s"", 'top', 'quote', 'ndtv', 'summit']",Negative
"""I Was Minister In Vajpayee Era..."": Rajnath Singh On What's Different Now",India,"['``', 'minister', 'vajpayee', 'era', '...', ""''"", 'rajnath', 'singh', ""'s"", 'different']",Neutral
"Rajnath Singh's ""Strong Response"" Warning On Border Row With China",India,"['rajnath', 'singh', ""'s"", '``', 'strong', 'response', ""''"", 'warning', 'border', 'row', 'china']",Positive
"""How NDTV Won Trust Of Common People..."": Rajnath Singh At Defence Summit",India,"['``', 'ndtv', 'trust', 'common', 'people', '...', ""''"", 'rajnath', 'singh', 'defence', 'summit']",Positive
Our Government Brought Self-Reliance In Defence: Rajnath Singh At NDTV Meet,India,"['government', 'brought', 'self-reliance', 'defence', 'rajnath', 'singh', 'ndtv', 'meet']",Positive
"As Bengaluru Suffers Worst-Ever Water Crisis, A Raging Political Blame Game",India,"['bengaluru', 'suffers', 'worst-ever', 'water', 'crisis', 'raging', 'political', 'blame', 'game']",Negative
Arvind Kejriwal Summoned By Court After Probe Agency Files Fresh Complaint,India,"['arvind', 'kejriwal', 'summoned', 'court', 'probe', 'agency', 'file', 'fresh', 'complaint']",Neutral
"BJP's Late-Night Meet For 2nd List, Maharashtra Seat Formula Is Highlight",India,"['bjp', ""'s"", 'late-night', 'meet', '2nd', 'list', 'maharashtra', 'seat', 'formula', 'highlight']",Positive
"Raids At House Of Jailed Samajwadi Party MLA Irfan Solanki, His Brother",India,"['raid', 'house', 'jailed', 'samajwadi', 'party', 'mla', 'irfan', 'solanki', 'brother']",Negative
Peaceful Negotiations Only Means To Get Normalcy In Manipur: Kiren Rijiju,India,"['peaceful', 'negotiation', 'mean', 'get', 'normalcy', 'manipur', 'kiren', 'rijiju']",Positive
"""Important That Japan Today Appreciates Pace Of Change In India"": S Jaishankar",India,"['``', 'important', 'japan', 'today', 'appreciates', 'pace', 'change', 'india', ""''"", 'jaishankar']",Positive
"Who Was Mohammed Asfan, Hyderabad Man Killed Fighting For Russia",India,"['mohammed', 'asfan', 'hyderabad', 'man', 'killed', 'fighting', 'russia']",Negative
"15 Years After Breaking Ties, Naveen Patnaik's BJD Hints At NDA Return",India,"['15', 'year', 'breaking', 'tie', 'naveen', 'patnaik', ""'s"", 'bjd', 'hint', 'nda', 'return']",Neutral
"""PM Didn't Allow You..."": Congress Chief's Dig At Shivraj Chouhan",India,"['``', 'pm', ""n't"", 'allow', '...', ""''"", 'congress', 'chief', ""'s"", 'dig', 'shivraj', 'chouhan']",Negative
"""We're United"": Supriya Sule Claims No ""Split"" In Pawar Family",India,"['``', ""'re"", 'united', ""''"", 'supriya', 'sule', 'claim', '``', 'split', ""''"", 'pawar', 'family']",Negative
"""Explain Sanatana Dharma"": DMK To BJP After Court Relief To Stalin Junior",India,"['``', 'explain', 'sanatana', 'dharma', ""''"", 'dmk', 'bjp', 'court', 'relief', 'stalin', 'junior']",Positive
Chinese National Arrested In US For Stealing Google AI Technology,India,"['chinese', 'national', 'arrested', 'u', 'stealing', 'google', 'ai', 'technology']",Negative
Notice To Gurugram Cafe Where 5 Fell Ill After Having Mouth Freshener,India,"['notice', 'gurugram', 'cafe', '5', 'fell', 'ill', 'mouth', 'freshener']",Negative
Bengaluru Cafe Blast: NIA Offers Rs 10 Lakh Bounty For Info About Bomber,India,"['bengaluru', 'cafe', 'blast', 'nia', 'offer', 'r', '10', 'lakh', 'bounty', 'info', 'bomber']",Neutral
"Will Repeal Citizenship Law If Voted To Power, Says Congress Leader",India,"['repeal', 'citizenship', 'law', 'voted', 'power', 'say', 'congress', 'leader']",Neutral
Man Arrested For Making Hoax Bomb Threat To Delay Flight In Mumbai: Cops,India,"['man', 'arrested', 'making', 'hoax', 'bomb', 'threat', 'delay', 'flight', 'mumbai', 'cop']",Negative
"""Entire Universe"" Of Mineral Development Not Under Parliament: Supreme Court",India,"['``', 'entire', 'universe', ""''"", 'mineral', 'development', 'parliament', 'supreme', 'court']",Negative
"PM Modi In Srinagar Today, His 1st Visit Since Article 370 Move",India,"['pm', 'modi', 'srinagar', 'today', '1st', 'visit', 'since', 'article', '370', 'move']",Neutral
"""INDIA Bloc Sensing Defeat, Targeting Lord Ram"": PM Modi in Bihar",India,"['``', 'india', 'bloc', 'sensing', 'defeat', 'targeting', 'lord', 'ram', ""''"", 'pm', 'modi', 'bihar']",Negative
Local BJP Leader Shot Dead By Maoists In Chhattisgarh's Bijapur: Cops,India,"['local', 'bjp', 'leader', 'shot', 'dead', 'maoist', 'chhattisgarh', ""'s"", 'bijapur', 'cop']",Negative
Gujarat Isn't Pakistan: Devendra Fadnavis On Losing Projects To State,India,"['gujarat', ""n't"", 'pakistan', 'devendra', 'fadnavis', 'losing', 'project', 'state']",Negative
Union Minister's Big Charge On 'Those Not Giving Peace A Chance' In Manipur,India,"['union', 'minister', ""'s"", 'big', 'charge', ""'those"", 'giving', 'peace', 'chance', 'manipur']",Negative
INDIA Bloc Makes 8-Seat Offer To BJP Ally In Bihar: Sources,India,"['india', 'bloc', 'make', '8-seat', 'offer', 'bjp', 'ally', 'bihar', 'source']",Neutral
Activist Sonam Wangchuk Begins Fast Unto Death Over Centre's Ladakh Promises,India,"['activist', 'sonam', 'wangchuk', 'begin', 'fast', 'unto', 'death', 'centre', ""'s"", 'ladakh', 'promise']",Negative
Congress Removes Himachal MLA As Party Secretary For Cross-Voting,India,"['congress', 'remove', 'himachal', 'mla', 'party', 'secretary', 'cross-voting']",Positive
Jaya Prada Appears Before UP Court In 2019 Poll Code Violation Case,India,"['jaya', 'prada', 'appears', 'court', '2019', 'poll', 'code', 'violation', 'case']",Negative
"For Sheikh Shahjahan Handover Delay, Bengal Cops Cite Supreme Court Plea",India,"['sheikh', 'shahjahan', 'handover', 'delay', 'bengal', 'cop', 'cite', 'supreme', 'court', 'plea']",Positive
Ex Mayawati Party MP Gets 7 Years In Jail In 2020 Kidnapping Case,India,"['ex', 'mayawati', 'party', 'mp', 'get', '7', 'year', 'jail', '2020', 'kidnapping', 'case']",Positive
INLD Leader's Murder Probe Handed Over To CBI: Haryana Minister,India,"['inld', 'leader', ""'s"", 'murder', 'probe', 'handed', 'cbi', 'haryana', 'minister']",Negative
"PM Modi Unveils Projects Worth Rs 12,800 Crore In Bihar",India,"['pm', 'modi', 'unveils', 'project', 'worth', 'r', '12,800', 'crore', 'bihar']",Positive
SBI Fails To Submit Details Of Poll Bonds As Supreme Court Deadline Ends,India,"['sbi', 'fails', 'submit', 'detail', 'poll', 'bond', 'supreme', 'court', 'deadline', 'end']",Positive
Supreme Court Frees Man Accused Of Raping Woman on Pretext Of Marriage,India,"['supreme', 'court', 'free', 'man', 'accused', 'raping', 'woman', 'pretext', 'marriage']",Negative
"""Let's Unite"": Mamata Banerjee Calls For Massive Rally In Kolkata On March 10",India,"['``', 'let', ""'s"", 'unite', ""''"", 'mamata', 'banerjee', 'call', 'massive', 'rally', 'kolkata', 'march', '10']",Neutral
"Man Slaps 80-Year-Old Mother, Hits Her With Slipper In UP",India,"['man', 'slap', '80-year-old', 'mother', 'hit', 'slipper']",Neutral
"Another Gujarat Congress MLA Resigns, 4th In 3 months",India,"['another', 'gujarat', 'congress', 'mla', 'resigns', '4th', '3', 'month']",Negative
Former Trinamool Leader Tapas Roy Joins BJP,India,"['former', 'trinamool', 'leader', 'tapa', 'roy', 'join', 'bjp']",Neutral
"Supreme Court Directs Kerala, Centre To Meet, Resolve Financial Issues",India,"['supreme', 'court', 'directs', 'kerala', 'centre', 'meet', 'resolve', 'financial', 'issue']",Positive
"Will Work For People If Given Opportunity, Says Ajit Pawar's Wife",India,"['work', 'people', 'given', 'opportunity', 'say', 'ajit', 'pawar', ""'s"", 'wife']",Positive
Husband Expecting Wife To Do Household Chores Is Not Cruelty: Delhi High Court,India,"['husband', 'expecting', 'wife', 'household', 'chore', 'cruelty', 'delhi', 'high', 'court']",Positive
Odisha Court Sentences 5 To Death For Politician's Murder In 2019,India,"['odisha', 'court', 'sentence', '5', 'death', 'politician', ""'s"", 'murder', '2019']",Negative
"""10 Years Of Our Lives Wasted"": Ex Professor GN Saibaba's Wife Upon His Acquittal",India,"['``', '10', 'year', 'life', 'wasted', ""''"", 'ex', 'professor', 'gn', 'saibaba', ""'s"", 'wife', 'upon', 'acquittal']",Positive
"MH-60R Chopper - Navy's Submarine Hunter, Commissioned In New Squadron",India,"['mh-60r', 'chopper', 'navy', ""'s"", 'submarine', 'hunter', 'commissioned', 'new', 'squadron']",Neutral
"""Truly Important Partners"": S Jaishankar Describes India, South Korea Ties",India,"['``', 'truly', 'important', 'partner', ""''"", 'jaishankar', 'describes', 'india', 'south', 'korea', 'tie']",Positive
Adani Foundation-Run School Dedicates Annual Day To UN's Sustainable Development Goals,India,"['adani', 'foundation-run', 'school', 'dedicates', 'annual', 'day', 'un', ""'s"", 'sustainable', 'development', 'goal']",Neutral
"""Resigned Because..."": Ex Calcutta High Court Judge, To Join BJP, Explains",India,"['``', 'resigned', '...', ""''"", 'ex', 'calcutta', 'high', 'court', 'judge', 'join', 'bjp', 'explains']",Positive
Opposition Tipra Motha Likely To Join BJP-Led Government In Tripura,India,"['opposition', 'tipra', 'motha', 'likely', 'join', 'bjp-led', 'government', 'tripura']",Positive
Now A Metro Ride To The Taj Mahal: PM Modi Inaugurates Agra Metro Corridor,India,"['metro', 'ride', 'taj', 'mahal', 'pm', 'modi', 'inaugurates', 'agra', 'metro', 'corridor']",Neutral
"Hyderabad Man, Duped Into Fighting Ukraine War, Dies In Russia",India,"['hyderabad', 'man', 'duped', 'fighting', 'ukraine', 'war', 'dy', 'russia']",Negative
"PM Modi To Visit Srinagar Tomorrow, First Time Since Scrapping Article 370",India,"['pm', 'modi', 'visit', 'srinagar', 'tomorrow', 'first', 'time', 'since', 'scrapping', 'article', '370']",Neutral
"""Be More Careful"": Election Body To Rahul Gandhi Over Remarks On PM Modi",India,"['``', 'careful', ""''"", 'election', 'body', 'rahul', 'gandhi', 'remark', 'pm', 'modi']",Neutral
"Amit Shah Holds Key Meeting With Eknath Shinde, Ajit Pawar In Mumbai",India,"['amit', 'shah', 'hold', 'key', 'meeting', 'eknath', 'shinde', 'ajit', 'pawar', 'mumbai']",Neutral
Probe Agency Files Fresh Complaint Against Arvind Kejriwal For Skipping Summons,India,"['probe', 'agency', 'file', 'fresh', 'complaint', 'arvind', 'kejriwal', 'skipping', 'summons']",Neutral
"PM Modi To Visit Arunachal On March 9, Inaugurate Strategic Sela Tunnel",India,"['pm', 'modi', 'visit', 'arunachal', 'march', '9', 'inaugurate', 'strategic', 'sela', 'tunnel']",Neutral
"Watch: Asha Bhosle, 90, Sings During Amit Shah Meet In Mumbai",India,"['watch', 'asha', 'bhosle', '90', 'sings', 'amit', 'shah', 'meet', 'mumbai']",Neutral
Bengal Cops Hand Over Sandeshkhali Strongman To CBI After Court Reprimand,India,"['bengal', 'cop', 'hand', 'sandeshkhali', 'strongman', 'cbi', 'court', 'reprimand']",Positive
"PM Modi, In Bihar, Calls Lalu Prasad And Family State's ""Biggest Offenders""",India,"['pm', 'modi', 'bihar', 'call', 'lalu', 'prasad', 'family', 'state', ""'s"", '``', 'biggest', 'offender', ""''""]",Negative
Delhi Speaker's Order Suspending 7 BJP MLAs Struck Down By High Court,India,"['delhi', 'speaker', ""'s"", 'order', 'suspending', '7', 'bjp', 'mlas', 'struck', 'high', 'court']",Negative
Navy's New Base INS Jatayu In Lakshadweep's Minicoy Will Boost Operational Reach,India,"['navy', ""'s"", 'new', 'base', 'in', 'jatayu', 'lakshadweep', ""'s"", 'minicoy', 'boost', 'operational', 'reach']",Positive
Pilot Injured After Trainer Aircraft Crashes In Madhya Pradesh's Guna,India,"['pilot', 'injured', 'trainer', 'aircraft', 'crash', 'madhya', 'pradesh', ""'s"", 'guna']",Negative
"Lok Sabha 2024: Guna - Scindia Legacy, Modi Wave, And Electoral Dynamics - 2024 Outlook",India,"['lok', 'sabha', '2024', 'guna', 'scindia', 'legacy', 'modi', 'wave', 'electoral', 'dynamic', '2024', 'outlook']",Positive
"Lok Sabha Elections 2024: 5 Facts About Shivraj Chouhan, BJP Candidate From Vidisha",India,"['lok', 'sabha', 'election', '2024', '5', 'fact', 'shivraj', 'chouhan', 'bjp', 'candidate', 'vidisha']",Neutral
"""Indian Astronauts In India-Made Rocket..."": Top Space Official On Gaganyaan",India,"['``', 'indian', 'astronaut', 'india-made', 'rocket', '...', ""''"", 'top', 'space', 'official', 'gaganyaan']",Positive
"Video: Speeding SUV Rams Divider, Then Crashes Into Stationary Truck",India,"['video', 'speeding', 'suv', 'ram', 'divider', 'crash', 'stationary', 'truck']",Neutral
Rahul Gandhi vs Smriti Irani 3.0 In Amethi: Sources,India,"['rahul', 'gandhi', 'v', 'smriti', 'irani', '3.0', 'amethi', 'source']",Neutral
How BJP Is Using AI In Campaign For Lok Sabha Polls,India,"['bjp', 'using', 'ai', 'campaign', 'lok', 'sabha', 'poll']",Neutral
What About Women Wrestlers? Asks Trinamool On PM's Sandeshkhali Remark,India,"['woman', 'wrestler', 'asks', 'trinamool', 'pm', ""'s"", 'sandeshkhali', 'remark']",Neutral
2 Assam Congress Leaders Summoned For Clashes During Rahul Gandhi's Yatra,India,"['2', 'assam', 'congress', 'leader', 'summoned', 'clash', 'rahul', 'gandhi', ""'s"", 'yatra']",Neutral
"As Chinese 'Spy' Ship Leaves, Maldives Severs Yet Another Tie With India",India,"['chinese', ""'spy"", 'ship', 'leaf', 'maldives', 'severs', 'yet', 'another', 'tie', 'india']",Neutral
CBI Team At Bengal Police HQ For Sheikh Shahjahan As Court Deadline Ends,India,"['cbi', 'team', 'bengal', 'police', 'hq', 'sheikh', 'shahjahan', 'court', 'deadline', 'end']",Neutral
"After Massive Turnout At PM Modi's Rally, Women From Sandeshkhali Meet Him",India,"['massive', 'turnout', 'pm', 'modi', ""'s"", 'rally', 'woman', 'sandeshkhali', 'meet']",Neutral
"Google Pay, PhonePe Gain Customers After RBI's Curbs On Paytm",India,"['google', 'pay', 'phonepe', 'gain', 'customer', 'rbi', ""'s"", 'curb', 'paytm']",Positive
"10 Chinese-Origin Persons Chargesheeted In Crypto Mining ""App"" Case",India,"['10', 'chinese-origin', 'person', 'chargesheeted', 'crypto', 'mining', '``', 'app', ""''"", 'case']",Neutral
Why Supreme Court Stopped Tiger Safaris In Jim Corbett National Park's Core Areas,India,"['supreme', 'court', 'stopped', 'tiger', 'safari', 'jim', 'corbett', 'national', 'park', ""'s"", 'core', 'area']",Positive
Telangana Cop In Trouble Over Murder Accused's Birthday Party At Police Station,India,"['telangana', 'cop', 'trouble', 'murder', 'accused', ""'s"", 'birthday', 'party', 'police', 'station']",Negative
Court Dismisses Petition Against Stalin Junior Over 'Sanatana' Remarks,India,"['court', 'dismisses', 'petition', 'stalin', 'junior', ""'sanatana"", 'remark']",Neutral
"Priyanka Gandhi's Poll Debut From Raebareli, Amethi Redux For Rahul Gandhi",India,"['priyanka', 'gandhi', ""'s"", 'poll', 'debut', 'raebareli', 'amethi', 'redux', 'rahul', 'gandhi']",Neutral
"Trinamool's Shatrughan Sinha Claims Sharp Fall In Ram Temple Visitors, BJP Hits Back",India,"['trinamool', ""'s"", 'shatrughan', 'sinha', 'claim', 'sharp', 'fall', 'ram', 'temple', 'visitor', 'bjp', 'hit', 'back']",Neutral
89-Year-Old UK Man Dies Of Hypercalcemia: All About Vitamin D Toxicity,India,"['89-year-old', 'uk', 'man', 'dy', 'hypercalcemia', 'vitamin', 'toxicity']",Positive
"In Tamil Nadu, It's DMK-Congress vs BJP, Ex-Ally AIADMK In Seat-Share Race",India,"['tamil', 'nadu', ""'s"", 'dmk-congress', 'v', 'bjp', 'ex-ally', 'aiadmk', 'seat-share', 'race']",Neutral
Madhya Pradesh Man Dies By Suicide After Friend Killed In Road Crash: Cops,India,"['madhya', 'pradesh', 'man', 'dy', 'suicide', 'friend', 'killed', 'road', 'crash', 'cop']",Negative
Did Stalin Junior Buy Nivetha Pethuraj A Home In Dubai? Actor Clarifies,India,"['stalin', 'junior', 'buy', 'nivetha', 'pethuraj', 'home', 'dubai', 'actor', 'clarifies']",Positive
"PM's Sheikh Shahjahan Barbs, Trinamool's Brij Bhushan Sharan Singh Counter",India,"['pm', ""'s"", 'sheikh', 'shahjahan', 'barb', 'trinamool', ""'s"", 'brij', 'bhushan', 'sharan', 'singh', 'counter']",Neutral
"""Only Chalk Powder, Health Risk"": Telangana's ""Stop Use"" Warning For 3 Drugs",India,"['``', 'chalk', 'powder', 'health', 'risk', ""''"", 'telangana', ""'s"", '``', 'stop', 'use', ""''"", 'warning', '3', 'drug']",Negative
"Tarot Reader, On The Run After Raping Woman In Delhi, Arrested In Himachal Pradesh",India,"['tarot', 'reader', 'run', 'raping', 'woman', 'delhi', 'arrested', 'himachal', 'pradesh']",Negative
"""Security Reasons"": Buses Taking Sandeshkhali Women To PM Modi's Rally Stopped",India,"['``', 'security', 'reason', ""''"", 'bus', 'taking', 'sandeshkhali', 'woman', 'pm', 'modi', ""'s"", 'rally', 'stopped']",Positive
"""Borewell At My Home Also Dry"": DK Shivakumar Amid Bengaluru's Deepening Water Crisis",India,"['``', 'borewell', 'home', 'also', 'dry', ""''"", 'dk', 'shivakumar', 'amid', 'bengaluru', ""'s"", 'deepening', 'water', 'crisis']",Negative
Mumbai Boy's Skull Recovered Day After His Headless Body Found In Mangroves,India,"['mumbai', 'boy', ""'s"", 'skull', 'recovered', 'day', 'headless', 'body', 'found', 'mangrove']",Neutral
"""Drone Sister"": Homemakers Turn Drone Pilots To Cultivate Farmlands",India,"['``', 'drone', 'sister', ""''"", 'homemaker', 'turn', 'drone', 'pilot', 'cultivate', 'farmland']",Neutral
Delhi Police Seizes Car After Video Of Reckless Stunts On Najafgarh-Rajouri Route Sparks Outcry,India,"['delhi', 'police', 'seizes', 'car', 'video', 'reckless', 'stunt', 'najafgarh-rajouri', 'route', 'spark', 'outcry']",Negative
"Supreme Court's ""Waste Bin"" Rap Over Deforestation In Corbett Tiger Reserve",India,"['supreme', 'court', ""'s"", '``', 'waste', 'bin', ""''"", 'rap', 'deforestation', 'corbett', 'tiger', 'reserve']",Positive
National Creators Award 2024 Nominees Announced. Full List Here,India,"['national', 'creator', 'award', '2024', 'nominee', 'announced', 'full', 'list']",Positive
Delhi Painter Gets Hands Back As Organ Donation Meets Surgical Excellence,India,"['delhi', 'painter', 'get', 'hand', 'back', 'organ', 'donation', 'meet', 'surgical', 'excellence']",Positive
Watch: PM Modi Travels In India's First Underwater Metro In Kolkata With Students,India,"['watch', 'pm', 'modi', 'travel', 'india', ""'s"", 'first', 'underwater', 'metro', 'kolkata', 'student']",Neutral
